STM32F303RCT6-48

Pin,Type,Name,Side
1,pwr,VBAT,left
2,bidirectional,PC13,right
3,bidirectional,PC14/OSC32_IN,left
4,bidirectional,PC15/OSC32_OUT,left
5,bidirectional,PF0/OSC_IN,left
6,bidirectional,PF1/OSC_OUT,left
7,input,NRST,left
8,gnd,VSSA,left
9,pwr,VDDA,left
10,bidirectional,PA0,right
11,bidirectional,PA1,right
12,bidirectional,PA2,right
13,bidirectional,PA3,right
14,bidirectional,PA4/SPI1_NSS/SPI3_NSS,right
15,bidirectional,PA5/SPI1_SCK,right
16,bidirectional,PA6/SPI1_MISO,right
17,bidirectional,PA7/SPI1_MOSI,right
18,bidirectional,PB0,right
19,bidirectional,PB1,right
20,bidirectional,PB2,right
21,bidirectional,PB10/USART3_TX,right
22,bidirectional,PB11/USART3_RX,right
23,gnd,VSS,left
24,pwr,VDD,left
25,bidirectional,PB12/SPI2_NSS,right
26,bidirectional,PB13/SPI2_SCK,right
27,bidirectional,PB14/SPI2_MISO,right
28,bidirectional,PB15/SPI2_MOSI,right
29,bidirectional,PA8,right
30,bidirectional,PA9,right
31,bidirectional,PA10,right
32,bidirectional,PA11/USB_DM,right
33,bidirectional,PA12/USB_DP,right
34,bidirectional,PA13/JTMS,right
35,gnd,VSS,left
36,pwr,VDD,left
37,bidirectional,PA14/JTCK,right
38,bidirectional,PA15/JTDI,right
39,bidirectional,PB3/JTDO,right
40,bidirectional,PB4/NJTRST,right
41,bidirectional,PB5,right
42,bidirectional,PB6,right
43,bidirectional,PB7,right
44,input,BOOT0,left
45,bidirectional,PB8,right
46,bidirectional,PB9,right
47,gnd,VSS,left
48,pwr,VDD,left
