STM32F303RCT6

Pin,Type,Name,Side
1,power_in,VBAT,left
2,bidirectional,PC13,right
3,bidirectional,PC14,right
4,bidirectional,PC15,right
5,bidirectional,PF0,right
6,bidirectional,PF1,right
7,power_in,NRST,left
8,bidirectional,PC0,right
9,bidirectional,PC1,right
10,bidirectional,PC2,right
11,bidirectional,PC3,right
12,power_in,VSSA,left
13,power_in,VDDA,left
14,bidirectional,PA0,right
15,bidirectional,PA1,right
16,bidirectional,PA2,right
17,bidirectional,PA3,right
18,bidirectional,PF4,right
19,power_in,VDD,left
20,bidirectional,PA4,right
21,bidirectional,PA5,right
22,bidirectional,PA6,right
23,bidirectional,PA7,right
24,bidirectional,PC4,right
25,bidirectional,PC5,right
26,bidirectional,PB0,right
27,bidirectional,PB1,right
28,bidirectional,PB2,right
29,bidirectional,PB10,right
30,bidirectional,PB11,right
31,power_in,VSS,left
32,power_in,VDD,left
33,bidirectional,PB12,right
34,bidirectional,PB13,right
35,bidirectional,PB14,right
36,bidirectional,PB15,right
37,bidirectional,PC6,right
38,bidirectional,PC7,right
39,bidirectional,PC8,right
40,bidirectional,PC9,right
41,bidirectional,PA8,right
42,bidirectional,PA9,right
43,bidirectional,PA10,right
44,bidirectional,PA11,right
45,bidirectional,PA12,right
46,bidirectional,PA13,right
47,power_in,VSS,left
48,power_in,VDD,left
49,bidirectional,PA14,right
50,bidirectional,PA15,right
51,bidirectional,PC10,right
52,bidirectional,PC11,right
53,bidirectional,PC12,right
54,bidirectional,PD2,right
55,bidirectional,PB3,right
56,bidirectional,PB4,right
57,bidirectional,PB5,right
58,bidirectional,PB6,right
59,bidirectional,PB7,right
60,input,BOOT0,left
61,bidirectional,PB8,right
62,bidirectional,PB9,right
63,power_in,VSS,left
64,power_in,VDD,left
